image,class,split,spai
midjourney-v6.1/290.png,1,test,1.0
midjourney-v6.1/31.png,1,test,0.9999821186065674
midjourney-v6.1/35.png,1,test,0.7119470238685608
midjourney-v6.1/328.png,1,test,0.9955249428749084
midjourney-v6.1/182.png,1,test,1.0
midjourney-v6.1/465.png,1,test,1.0
midjourney-v6.1/153.png,1,test,0.9999997615814209
midjourney-v6.1/277.png,1,test,0.9999880790710449
midjourney-v6.1/374.png,1,test,1.0
midjourney-v6.1/315.png,1,test,1.0
midjourney-v6.1/49.png,1,test,1.0
midjourney-v6.1/187.png,1,test,0.9999998807907104
midjourney-v6.1/525.png,1,test,1.0
midjourney-v6.1/484.png,1,test,0.9999974966049194
midjourney-v6.1/125.png,1,test,1.0
midjourney-v6.1/250.png,1,test,0.9999761581420898
midjourney-v6.1/589.png,1,test,1.0
midjourney-v6.1/548.png,1,test,1.0
midjourney-v6.1/118.png,1,test,1.0
midjourney-v6.1/349.png,1,test,0.015684673562645912
midjourney-v6.1/475.png,1,test,4.6556771849282086e-05
midjourney-v6.1/426.png,1,test,0.9733259677886963
midjourney-v6.1/391.png,1,test,1.0
midjourney-v6.1/12.png,1,test,0.9999086856842041
midjourney-v6.1/84.png,1,test,0.6992707848548889
midjourney-v6.1/445.png,1,test,1.0
midjourney-v6.1/189.png,1,test,0.9983246922492981
midjourney-v6.1/262.png,1,test,1.0
midjourney-v6.1/254.png,1,test,1.1054746209993027e-05
midjourney-v6.1/336.png,1,test,0.9802424311637878
midjourney-v6.1/60.png,1,test,1.0
midjourney-v6.1/337.png,1,test,0.9999927282333374
midjourney-v6.1/159.png,1,test,0.5960500240325928
midjourney-v6.1/563.png,1,test,0.9999829530715942
midjourney-v6.1/319.png,1,test,0.9999997615814209
midjourney-v6.1/233.png,1,test,0.9505230188369751
midjourney-v6.1/455.png,1,test,1.0
midjourney-v6.1/326.png,1,test,1.0
midjourney-v6.1/562.png,1,test,1.0
midjourney-v6.1/236.png,1,test,0.9999566078186035
midjourney-v6.1/438.png,1,test,0.5562878251075745
midjourney-v6.1/375.png,1,test,0.9999622106552124
midjourney-v6.1/628.png,1,test,0.935964822769165
midjourney-v6.1/415.png,1,test,1.0
midjourney-v6.1/138.png,1,test,1.0
midjourney-v6.1/470.png,1,test,0.475218802690506
midjourney-v6.1/38.png,1,test,0.9999642372131348
midjourney-v6.1/134.png,1,test,1.0
midjourney-v6.1/630.png,1,test,0.9999970197677612
midjourney-v6.1/469.png,1,test,0.08704601973295212
midjourney-v6.1/61.png,1,test,0.9988928437232971
midjourney-v6.1/538.png,1,test,1.0
midjourney-v6.1/231.png,1,test,1.0
midjourney-v6.1/312.png,1,test,0.9926407933235168
midjourney-v6.1/583.png,1,test,1.0
midjourney-v6.1/221.png,1,test,0.9999945163726807
midjourney-v6.1/535.png,1,test,1.0
midjourney-v6.1/67.png,1,test,0.9999802112579346
midjourney-v6.1/350.png,1,test,1.0
midjourney-v6.1/313.png,1,test,0.9999986886978149
midjourney-v6.1/447.png,1,test,1.0
midjourney-v6.1/27.png,1,test,0.6469095349311829
midjourney-v6.1/174.png,1,test,1.0
midjourney-v6.1/631.png,1,test,0.40926340222358704
midjourney-v6.1/57.png,1,test,0.9999994039535522
midjourney-v6.1/306.png,1,test,1.0
midjourney-v6.1/202.png,1,test,0.9996458292007446
midjourney-v6.1/269.png,1,test,0.9999998807907104
midjourney-v6.1/329.png,1,test,1.0
midjourney-v6.1/275.png,1,test,0.9999998807907104
midjourney-v6.1/26.png,1,test,1.0
midjourney-v6.1/204.png,1,test,1.0
midjourney-v6.1/478.png,1,test,0.5605910420417786
midjourney-v6.1/162.png,1,test,0.9999990463256836
midjourney-v6.1/392.png,1,test,0.9999997615814209
midjourney-v6.1/268.png,1,test,1.0
midjourney-v6.1/633.png,1,test,0.7778417468070984
midjourney-v6.1/512.png,1,test,1.0
midjourney-v6.1/101.png,1,test,0.9999996423721313
midjourney-v6.1/173.png,1,test,0.9988960027694702
midjourney-v6.1/180.png,1,test,0.9999953508377075
midjourney-v6.1/370.png,1,test,0.9999996423721313
midjourney-v6.1/70.png,1,test,0.999925971031189
midjourney-v6.1/297.png,1,test,0.9998986721038818
