image,class,split,spai
stable-diffusion-3/cfg_60/bosh3/steps_28/000004157_7.webp,1,test,0.9993487000465393
stable-diffusion-3/cfg_45/dpmpp_2m/steps_28/000008284_2.webp,1,test,0.9942187070846558
stable-diffusion-3/cfg_60/bosh3/steps_20/000004526_4.webp,1,test,0.6869451403617859
stable-diffusion-3/cfg_30/euler/steps_28/000000396_7.webp,1,test,0.06177525222301483
stable-diffusion-3/cfg_30/euler/steps_15/000008397_5.webp,1,test,0.908970832824707
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000002092_3.webp,1,test,0.024794576689600945
stable-diffusion-3/cfg_60/euler/steps_28/000009443_2.webp,1,test,0.8146984577178955
stable-diffusion-3/cfg_30/bosh3/steps_15/000001329_0.webp,1,test,0.00014937705418560654
stable-diffusion-3/cfg_45/euler/steps_15/000002971_3.webp,1,test,0.650082528591156
stable-diffusion-3/cfg_30/euler/steps_20/000002169_2.webp,1,test,1.1108119224445545e-07
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000008663_7.webp,1,test,0.01075913105159998
stable-diffusion-3/cfg_45/euler/steps_15/000004996_7.webp,1,test,0.5487900376319885
stable-diffusion-3/cfg_30/bosh3/steps_20/000003714_7.webp,1,test,0.0014462547842413187
stable-diffusion-3/cfg_60/bosh3/steps_28/000004913_3.webp,1,test,1.9079225239693187e-06
stable-diffusion-3/cfg_60/euler/steps_20/000000740_7.webp,1,test,0.21278202533721924
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000005279_2.webp,1,test,0.24411582946777344
stable-diffusion-3/cfg_60/euler/steps_28/000009038_0.webp,1,test,0.9876863956451416
stable-diffusion-3/cfg_60/bosh3/steps_28/000004346_3.webp,1,test,0.6117522716522217
stable-diffusion-3/cfg_60/bosh3/steps_28/000005858_4.webp,1,test,0.9994004964828491
stable-diffusion-3/cfg_30/bosh3/steps_20/000009087_1.webp,1,test,1.3710830693014486e-08
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000006187_5.webp,1,test,0.826317548751831
stable-diffusion-3/cfg_60/bosh3/steps_20/000003176_6.webp,1,test,0.9999992847442627
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000001246_4.webp,1,test,0.9966765642166138
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000007149_2.webp,1,test,0.8688075542449951
stable-diffusion-3/cfg_60/euler/steps_20/000003791_4.webp,1,test,0.787961483001709
stable-diffusion-3/cfg_45/euler/steps_28/000008956_4.webp,1,test,0.9314138293266296
stable-diffusion-3/cfg_30/bosh3/steps_15/000001329_7.webp,1,test,2.5351549993501976e-05
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000001796_2.webp,1,test,0.0013623220147565007
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000007573_1.webp,1,test,0.9997979998588562
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000000374_5.webp,1,test,0.9908944368362427
stable-diffusion-3/cfg_45/bosh3/steps_28/000005965_2.webp,1,test,1.0
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000009840_0.webp,1,test,0.004817919339984655
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000006123_0.webp,1,test,7.382333459815538e-12
stable-diffusion-3/cfg_30/euler/steps_28/000003474_7.webp,1,test,0.09243673086166382
stable-diffusion-3/cfg_60/euler/steps_20/000006545_7.webp,1,test,3.834268369473648e-08
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000003460_5.webp,1,test,0.9999971389770508
stable-diffusion-3/cfg_60/euler/steps_28/000003881_5.webp,1,test,0.004136119969189167
stable-diffusion-3/cfg_30/bosh3/steps_15/000001437_3.webp,1,test,0.10072466731071472
stable-diffusion-3/cfg_45/bosh3/steps_15/000003247_5.webp,1,test,0.40991976857185364
stable-diffusion-3/cfg_30/bosh3/steps_15/000004461_7.webp,1,test,0.03877822682261467
stable-diffusion-3/cfg_30/euler/steps_15/000009369_3.webp,1,test,0.0002977886178996414
