image,class,split
stable-diffusion-3/cfg_60/bosh3/steps_28/000004157_7.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_28/000008284_2.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000004526_4.png,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000000396_7.png,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000008397_5.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000002092_3.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000009443_2.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000001329_0.png,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000002971_3.png,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000002169_2.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000008663_7.png,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000004996_7.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000003714_7.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000004913_3.png,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000000740_7.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000005279_2.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000009038_0.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000004346_3.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000005858_4.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000009087_1.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000006187_5.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000003176_6.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000001246_4.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000007149_2.png,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000003791_4.png,1,test
stable-diffusion-3/cfg_45/euler/steps_28/000008956_4.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000001329_7.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000001796_2.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000007573_1.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000000374_5.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_28/000005965_2.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000009840_0.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000006123_0.png,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000003474_7.png,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000006545_7.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000003460_5.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000003881_5.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000001437_3.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_15/000003247_5.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000004461_7.png,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000009369_3.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000008096_2.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_28/000003289_4.png,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000005806_0.png,1,test
stable-diffusion-3/cfg_45/euler/steps_20/000007084_0.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000004013_7.png,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000009549_1.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000004739_4.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_15/000000276_0.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000002645_1.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_28/000004966_7.png,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000004050_7.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000008013_2.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_15/000007455_1.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000004251_6.png,1,test
stable-diffusion-3/cfg_60/euler/steps_15/000007049_3.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000006722_0.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000001281_6.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000001786_7.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_15/000004057_4.png,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000003303_6.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_15/000007919_0.png,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000000639_1.png,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000002097_4.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000000959_6.png,1,test
stable-diffusion-3/cfg_60/euler/steps_20/000007355_0.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_15/000007887_0.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000009732_0.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000001511_6.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_15/000006109_6.png,1,test
stable-diffusion-3/cfg_30/euler/steps_15/000005508_6.png,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000007056_7.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000002202_7.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000001362_4.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000002990_1.png,1,test
stable-diffusion-3/cfg_30/euler/steps_28/000006174_0.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_15/000005646_6.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000003460_7.png,1,test
stable-diffusion-3/cfg_45/euler/steps_28/000005959_4.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_15/000003621_5.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000009220_3.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_15/000006510_3.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000001229_5.png,1,test
stable-diffusion-3/cfg_45/euler/steps_20/000002278_3.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000009843_4.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000001046_4.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000000311_0.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_15/000004055_6.png,1,test
stable-diffusion-3/cfg_45/euler/steps_15/000008533_5.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000008644_1.png,1,test
stable-diffusion-3/cfg_45/euler/steps_20/000005410_3.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000000795_7.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_20/000005956_0.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000004886_3.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_20/000001771_2.png,1,test
stable-diffusion-3/cfg_45/bosh3/steps_28/000005263_4.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000005440_3.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_28/000004589_6.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000007275_3.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000007340_6.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000009087_2.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_15/000004325_6.png,1,test
stable-diffusion-3/cfg_60/bosh3/steps_20/000000746_4.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_20/000002255_1.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_15/000008671_5.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_15/000009995_4.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000007626_5.png,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000003762_7.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_28/000009201_2.png,1,test
stable-diffusion-3/cfg_30/dpmpp_2m/steps_20/000006006_0.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000009443_3.png,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000006165_4.png,1,test
stable-diffusion-3/cfg_60/euler/steps_28/000005933_6.png,1,test
stable-diffusion-3/cfg_60/dpmpp_2m/steps_28/000008501_4.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_20/000008871_0.png,1,test
stable-diffusion-3/cfg_45/euler/steps_20/000008245_7.png,1,test
stable-diffusion-3/cfg_45/dpmpp_2m/steps_20/000001660_1.png,1,test
stable-diffusion-3/cfg_30/euler/steps_20/000002196_2.png,1,test
stable-diffusion-3/cfg_60/euler/steps_15/000000326_1.png,1,test
stable-diffusion-3/cfg_30/bosh3/steps_28/000005775_6.png,1,test
