image,class,split
RAISE-1k/tiff/r0b0e2ba5t.png,0,test
RAISE-1k/tiff/r0b3979d0t.png,0,test
RAISE-1k/tiff/r0b59fc2bt.png,0,test
RAISE-1k/tiff/r0b6e4254t.png,0,test
RAISE-1k/tiff/r0b735401t.png,0,test
RAISE-1k/tiff/r0b7b1156t.png,0,test
RAISE-1k/tiff/r0bdc7894t.png,0,test
RAISE-1k/tiff/r0c9910e4t.png,0,test
RAISE-1k/tiff/r0cde6159t.png,0,test
RAISE-1k/tiff/r0ce35df8t.png,0,test
RAISE-1k/tiff/r0d203f37t.png,0,test
RAISE-1k/tiff/r0d56c1d7t.png,0,test
RAISE-1k/tiff/r0d89edd8t.png,0,test
RAISE-1k/tiff/r0e04cc91t.png,0,test
RAISE-1k/tiff/r0e5dfc8et.png,0,test
RAISE-1k/tiff/r0e7b407bt.png,0,test
RAISE-1k/tiff/r0eab8214t.png,0,test
RAISE-1k/tiff/r0eb07be3t.png,0,test
RAISE-1k/tiff/r0ebdd2d2t.png,0,test
RAISE-1k/tiff/r0eea5a7et.png,0,test
RAISE-1k/tiff/r0fae3dbdt.png,0,test
RAISE-1k/tiff/r0faffef3t.png,0,test
RAISE-1k/tiff/r0fbb5bc1t.png,0,test
RAISE-1k/tiff/r0fbd0c71t.png,0,test
RAISE-1k/tiff/r0fbf62f8t.png,0,test
RAISE-1k/tiff/r0fd69c12t.png,0,test
RAISE-1k/tiff/r0fdfc4f0t.png,0,test
RAISE-1k/tiff/r0fe270aet.png,0,test
RAISE-1k/tiff/r0fe7b1c6t.png,0,test
RAISE-1k/tiff/r0fef53bft.png,0,test
RAISE-1k/tiff/r0ff7a848t.png,0,test
RAISE-1k/tiff/r10134c59t.png,0,test
RAISE-1k/tiff/r101af5b4t.png,0,test
RAISE-1k/tiff/r101d6690t.png,0,test
RAISE-1k/tiff/r101eab0dt.png,0,test
RAISE-1k/tiff/r1023c21et.png,0,test
RAISE-1k/tiff/r102b4aa4t.png,0,test
RAISE-1k/tiff/r103a4f26t.png,0,test
RAISE-1k/tiff/r104153eat.png,0,test
RAISE-1k/tiff/r10940798t.png,0,test
RAISE-1k/tiff/r10a9ca2at.png,0,test
RAISE-1k/tiff/r10c5fc29t.png,0,test
RAISE-1k/tiff/r10cf67d1t.png,0,test
RAISE-1k/tiff/r10e36316t.png,0,test
RAISE-1k/tiff/r10f888c2t.png,0,test
RAISE-1k/tiff/r110b4219t.png,0,test
RAISE-1k/tiff/r110cc74ct.png,0,test
RAISE-1k/tiff/r110f894ft.png,0,test
RAISE-1k/tiff/r113402d4t.png,0,test
RAISE-1k/tiff/r1138e1aft.png,0,test
RAISE-1k/tiff/r115c449dt.png,0,test
RAISE-1k/tiff/r07ece355t.png,0,test
RAISE-1k/tiff/r07f22efdt.png,0,test
RAISE-1k/tiff/r08079988t.png,0,test
RAISE-1k/tiff/r0809811bt.png,0,test
RAISE-1k/tiff/r083ca67ct.png,0,test
RAISE-1k/tiff/r084a4ccet.png,0,test
RAISE-1k/tiff/r085bdbe2t.png,0,test
RAISE-1k/tiff/r08b05c94t.png,0,test
RAISE-1k/tiff/r08b12799t.png,0,test
RAISE-1k/tiff/r09488b39t.png,0,test
RAISE-1k/tiff/r09579ff2t.png,0,test
RAISE-1k/tiff/r0965e155t.png,0,test
RAISE-1k/tiff/r097d3563t.png,0,test
RAISE-1k/tiff/r09c8e042t.png,0,test
RAISE-1k/tiff/r0a4ce555t.png,0,test
RAISE-1k/tiff/r0a8e5f8at.png,0,test
RAISE-1k/tiff/r0a94587ft.png,0,test
RAISE-1k/tiff/r0a966704t.png,0,test
RAISE-1k/tiff/r0aaa70c3t.png,0,test
RAISE-1k/tiff/r0ac70243t.png,0,test
RAISE-1k/tiff/r0ae68527t.png,0,test
RAISE-1k/tiff/r0b07b945t.png,0,test
RAISE-1k/tiff/r0b0cd69et.png,0,test
RAISE-1k/tiff/r05f3bc6ct.png,0,test
RAISE-1k/tiff/r061433aft.png,0,test
RAISE-1k/tiff/r061db45ft.png,0,test
RAISE-1k/tiff/r06691aa5t.png,0,test
RAISE-1k/tiff/r068812d7t.png,0,test
RAISE-1k/tiff/r06888d38t.png,0,test
RAISE-1k/tiff/r0708431at.png,0,test
RAISE-1k/tiff/r072d955bt.png,0,test
RAISE-1k/tiff/r0777fea4t.png,0,test
RAISE-1k/tiff/r07cfb432t.png,0,test
RAISE-1k/tiff/r000da54ft.png,0,test
RAISE-1k/tiff/r001d260dt.png,0,test
RAISE-1k/tiff/r002fc3e2t.png,0,test
RAISE-1k/tiff/r00444b95t.png,0,test
RAISE-1k/tiff/r005f3e70t.png,0,test
RAISE-1k/tiff/r00617aa1t.png,0,test
RAISE-1k/tiff/r00679daet.png,0,test
RAISE-1k/tiff/r006b0e4bt.png,0,test
RAISE-1k/tiff/r006fcc20t.png,0,test
RAISE-1k/tiff/r007f5116t.png,0,test
RAISE-1k/tiff/r00816405t.png,0,test
RAISE-1k/tiff/r00869422t.png,0,test
RAISE-1k/tiff/r00879054t.png,0,test
RAISE-1k/tiff/r008a2095t.png,0,test
RAISE-1k/tiff/r008ed083t.png,0,test
RAISE-1k/tiff/r00a940e1t.png,0,test
RAISE-1k/tiff/r00b3931bt.png,0,test
RAISE-1k/tiff/r00b8d4a2t.png,0,test
RAISE-1k/tiff/r00c0995ft.png,0,test
RAISE-1k/tiff/r00c4a543t.png,0,test
RAISE-1k/tiff/r00d161b7t.png,0,test
RAISE-1k/tiff/r00de2590t.png,0,test
RAISE-1k/tiff/r01058910t.png,0,test
RAISE-1k/tiff/r0108c383t.png,0,test
RAISE-1k/tiff/r010cb248t.png,0,test
RAISE-1k/tiff/r01170470t.png,0,test
RAISE-1k/tiff/r01291f20t.png,0,test
RAISE-1k/tiff/r01292fd8t.png,0,test
RAISE-1k/tiff/r012b0f30t.png,0,test
RAISE-1k/tiff/r012d1dbet.png,0,test
RAISE-1k/tiff/r0141f0c9t.png,0,test
RAISE-1k/tiff/r01474187t.png,0,test
RAISE-1k/tiff/r0149a21ct.png,0,test
RAISE-1k/tiff/r0150031ft.png,0,test
RAISE-1k/tiff/r01511e3et.png,0,test
RAISE-1k/tiff/r01559391t.png,0,test
RAISE-1k/tiff/r015b453ft.png,0,test
RAISE-1k/tiff/r0176fbcat.png,0,test
RAISE-1k/tiff/r017904f0t.png,0,test
RAISE-1k/tiff/r018ba134t.png,0,test
RAISE-1k/tiff/r018e74fet.png,0,test
RAISE-1k/tiff/r0191aaf4t.png,0,test
RAISE-1k/tiff/r019eb1cbt.png,0,test
RAISE-1k/tiff/r01a31693t.png,0,test
RAISE-1k/tiff/r01a5f38at.png,0,test
RAISE-1k/tiff/r01b3f004t.png,0,test
RAISE-1k/tiff/r01b6aed6t.png,0,test
RAISE-1k/tiff/r01c95f68t.png,0,test
RAISE-1k/tiff/r01cbb7fdt.png,0,test
