image,class,split,spai
synthbuster/dalle3/r1d1445b6t.png,1,test,1.6337187995673144e-32
synthbuster/dalle3/r0200a7a6t.png,1,test,7.68289858281654e-24
synthbuster/dalle3/r06743f8ft.png,1,test,6.158269330737558e-28
synthbuster/dalle3/r1f3e6681t.png,1,test,1.0180964608077746e-34
synthbuster/dalle3/r181dd93dt.png,1,test,2.5974809130511333e-34
synthbuster/dalle3/r0c764979t.png,1,test,1.092318653944332e-15
synthbuster/dalle3/r1565a7e7t.png,1,test,8.591741695153062e-32
synthbuster/dalle3/r1a9de6e9t.png,1,test,4.196180051644452e-28
synthbuster/dalle3/r0207a52ct.png,1,test,7.603836306383739e-36
synthbuster/dalle3/r14289905t.png,1,test,2.3814242252178734e-30
synthbuster/dalle3/r031917act.png,1,test,0.0
synthbuster/dalle3/r18302db2t.png,1,test,5.622559691565e-31
synthbuster/dalle3/r085a5f53t.png,1,test,4.5232526998903805e-23
synthbuster/dalle3/r1b57dbb2t.png,1,test,1.2029636037388565e-29
synthbuster/dalle3/r09efa609t.png,1,test,2.9312644509109997e-26
synthbuster/dalle3/r07e242b7t.png,1,test,1.0623687241601693e-30
synthbuster/dalle3/r0c3a8ea0t.png,1,test,2.2839419017870296e-34
synthbuster/dalle3/r03cef811t.png,1,test,0.0
synthbuster/dalle3/r02897203t.png,1,test,2.7079528579101923e-30
synthbuster/dalle3/r1a8d7a86t.png,1,test,1.2391226661708479e-33
synthbuster/dalle3/r1b61c7b1t.png,1,test,1.3064812852944355e-38
synthbuster/dalle3/r047aa954t.png,1,test,1.2494892406481542e-33
synthbuster/dalle3/r08d2b4dat.png,1,test,1.412190757288014e-38
synthbuster/dalle3/r09488b39t.png,1,test,4.391707233462901e-36
synthbuster/dalle3/r08307e1at.png,1,test,3.3710753524484635e-32
synthbuster/dalle3/r191488c6t.png,1,test,1.263253544812314e-33
synthbuster/dalle3/r01559391t.png,1,test,4.664380768130642e-30
synthbuster/dalle3/r09670876t.png,1,test,4.4612499722993677e-32
synthbuster/dalle3/r0c7fcc38t.png,1,test,2.7785111303851263e-38
synthbuster/dalle3/r1bc3a653t.png,1,test,1.1546758178151219e-34
synthbuster/dalle3/r02b3a1ddt.png,1,test,4.921811002346465e-17
synthbuster/dalle3/r0f8a1531t.png,1,test,1.2449458912147139e-25
synthbuster/dalle3/r16422663t.png,1,test,1.530623915875763e-28
synthbuster/dalle3/r1ca6cc12t.png,1,test,1.4129568486036496e-29
synthbuster/dalle3/r0287344at.png,1,test,0.0
synthbuster/dalle3/r0c0d0adct.png,1,test,0.0
synthbuster/dalle3/r1d1cf607t.png,1,test,3.5987772733840284e-37
synthbuster/dalle3/r06c4bcb9t.png,1,test,5.71265349502285e-37
synthbuster/dalle3/r0e965ba7t.png,1,test,0.0
synthbuster/dalle3/r0f24ca4dt.png,1,test,4.36048926021708e-29
synthbuster/dalle3/r177dd68et.png,1,test,3.735123393108113e-20
synthbuster/dalle3/r1ceba29dt.png,1,test,0.0
synthbuster/dalle3/r12f02af5t.png,1,test,0.0
synthbuster/dalle3/r1af60295t.png,1,test,6.526141101457312e-16
synthbuster/dalle3/r075baf3ct.png,1,test,1.1200594319891063e-35
synthbuster/dalle3/r07f99a1at.png,1,test,3.3124690225923134e-28
synthbuster/dalle3/r16654024t.png,1,test,8.9432306966911e-19
synthbuster/dalle3/r179ed8d7t.png,1,test,9.19528839626002e-33
synthbuster/dalle3/r0341853dt.png,1,test,9.790597312164531e-36
synthbuster/dalle3/r1655a008t.png,1,test,6.377127853069699e-31
synthbuster/dalle3/r0fbe1b0ft.png,1,test,3.379912838292344e-37
synthbuster/dalle3/r1aa63558t.png,1,test,1.0239053861977896e-38
synthbuster/dalle3/r182ed662t.png,1,test,3.5004731828398055e-32
synthbuster/dalle3/r0b50b69ct.png,1,test,1.161383998753661e-30
synthbuster/dalle3/r0f1a3f00t.png,1,test,0.0
synthbuster/dalle3/r17fe8532t.png,1,test,0.0
synthbuster/dalle3/r1234de87t.png,1,test,7.732582571965446e-33
synthbuster/dalle3/r13a16a0at.png,1,test,2.539227132361975e-34
synthbuster/dalle3/r1bf00696t.png,1,test,0.0
synthbuster/dalle3/r041c02cat.png,1,test,1.0215978038931682e-34
synthbuster/dalle3/r06836fdat.png,1,test,5.9357151889579817e-36
synthbuster/dalle3/r1683028at.png,1,test,4.58680467084749e-34
synthbuster/dalle3/r0b6e4254t.png,1,test,0.0
synthbuster/dalle3/r11850456t.png,1,test,1.2613756925868754e-33
synthbuster/dalle3/r16da5576t.png,1,test,0.0
synthbuster/dalle3/r010cb248t.png,1,test,1.6436706816781697e-32
synthbuster/dalle3/r19c9183at.png,1,test,0.0
synthbuster/dalle3/r0a3c52a0t.png,1,test,1.235869149016792e-27
synthbuster/dalle3/r173ee7e8t.png,1,test,5.177068787162007e-27
synthbuster/dalle3/r050e1024t.png,1,test,1.432957147947933e-32
synthbuster/dalle3/r19183258t.png,1,test,2.6480241854828665e-34
synthbuster/dalle3/r05ac4560t.png,1,test,4.187576922582874e-28
synthbuster/dalle3/r1df374c1t.png,1,test,0.0
synthbuster/dalle3/r02f9f53et.png,1,test,1.5342754193861663e-12
synthbuster/dalle3/r17afaaa1t.png,1,test,1.3935367039167656e-29
synthbuster/dalle3/r04c566a0t.png,1,test,2.345973766089535e-35
synthbuster/dalle3/r09f764ect.png,1,test,4.206988487101393e-33
synthbuster/dalle3/r1f2c2acft.png,1,test,1.8515423331771575e-25
synthbuster/dalle3/r108ba35et.png,1,test,5.862564009311391e-19
synthbuster/dalle3/r102b4aa4t.png,1,test,1.80115519761405e-38
