image,class,split,spai
synthbuster/firefly/r1d1445b6t.png,1,test,9.079616166881337e-30
synthbuster/firefly/r0200a7a6t.png,1,test,9.895827487242027e-32
synthbuster/firefly/r06743f8ft.png,1,test,1.443945864289849e-35
synthbuster/firefly/r1f3e6681t.png,1,test,6.43914300717904e-39
synthbuster/firefly/r181dd93dt.png,1,test,2.069129092454785e-21
synthbuster/firefly/r0c764979t.png,1,test,1.7547543441730367e-29
synthbuster/firefly/r1565a7e7t.png,1,test,1.2894097156627534e-23
synthbuster/firefly/r1a9de6e9t.png,1,test,1.3527142113330476e-29
synthbuster/firefly/r0207a52ct.png,1,test,5.120179737097013e-31
synthbuster/firefly/r14289905t.png,1,test,0.0
synthbuster/firefly/r031917act.png,1,test,0.0
synthbuster/firefly/r18302db2t.png,1,test,9.223625765364692e-36
synthbuster/firefly/r085a5f53t.png,1,test,3.173485816419538e-23
synthbuster/firefly/r1b57dbb2t.png,1,test,0.0
synthbuster/firefly/r09efa609t.png,1,test,3.4797341123324005e-30
synthbuster/firefly/r07e242b7t.png,1,test,0.0
synthbuster/firefly/r0c3a8ea0t.png,1,test,5.002258375602184e-31
synthbuster/firefly/r03cef811t.png,1,test,0.0
synthbuster/firefly/r02897203t.png,1,test,1.4852593582594507e-27
synthbuster/firefly/r1a8d7a86t.png,1,test,2.8685038511760097e-31
synthbuster/firefly/r1b61c7b1t.png,1,test,3.354608406476027e-22
synthbuster/firefly/r047aa954t.png,1,test,1.2135325236488952e-21
synthbuster/firefly/r08d2b4dat.png,1,test,2.9417978047407407e-31
synthbuster/firefly/r09488b39t.png,1,test,1.583057614399276e-30
synthbuster/firefly/r08307e1at.png,1,test,8.114451933737317e-38
synthbuster/firefly/r191488c6t.png,1,test,2.7393388862155656e-31
synthbuster/firefly/r01559391t.png,1,test,6.105234882867093e-38
synthbuster/firefly/r09670876t.png,1,test,1.896706242214626e-20
synthbuster/firefly/r0c7fcc38t.png,1,test,4.028410225767669e-37
synthbuster/firefly/r1bc3a653t.png,1,test,3.685058011378657e-24
synthbuster/firefly/r02b3a1ddt.png,1,test,2.1109266592320757e-31
synthbuster/firefly/r0f8a1531t.png,1,test,5.258127428303435e-37
synthbuster/firefly/r16422663t.png,1,test,6.053578256608886e-34
synthbuster/firefly/r1ca6cc12t.png,1,test,0.0
synthbuster/firefly/r0287344at.png,1,test,5.323791874355062e-34
synthbuster/firefly/r0c0d0adct.png,1,test,1.4048104718839765e-27
synthbuster/firefly/r1d1cf607t.png,1,test,7.023954088292884e-21
synthbuster/firefly/r06c4bcb9t.png,1,test,0.0
synthbuster/firefly/r0e965ba7t.png,1,test,2.269521564070441e-29
synthbuster/firefly/r0f24ca4dt.png,1,test,4.0057442231072147e-38
synthbuster/firefly/r177dd68et.png,1,test,5.380484946471142e-09
synthbuster/firefly/r1ceba29dt.png,1,test,1.0370704870581566e-30
synthbuster/firefly/r12f02af5t.png,1,test,2.0185656950587478e-33
synthbuster/firefly/r1af60295t.png,1,test,9.672185040315938e-27
synthbuster/firefly/r075baf3ct.png,1,test,2.3602076760855523e-37
synthbuster/firefly/r07f99a1at.png,1,test,3.4630187002131426e-32
synthbuster/firefly/r16654024t.png,1,test,2.41037555786888e-32
synthbuster/firefly/r179ed8d7t.png,1,test,2.9262150255095382e-33
synthbuster/firefly/r0341853dt.png,1,test,1.7893172109167536e-35
synthbuster/firefly/r1655a008t.png,1,test,8.129722723882143e-39
synthbuster/firefly/r0fbe1b0ft.png,1,test,2.0412762490974412e-19
synthbuster/firefly/r1aa63558t.png,1,test,1.6281022543817825e-23
synthbuster/firefly/r182ed662t.png,1,test,3.1523215066364088e-24
synthbuster/firefly/r0b50b69ct.png,1,test,8.277725177191079e-36
synthbuster/firefly/r0f1a3f00t.png,1,test,1.773412417350323e-13
synthbuster/firefly/r17fe8532t.png,1,test,2.764762529463028e-33
synthbuster/firefly/r1234de87t.png,1,test,2.5275915749987576e-34
synthbuster/firefly/r13a16a0at.png,1,test,9.797638637779125e-25
synthbuster/firefly/r1bf00696t.png,1,test,3.374999388025159e-25
synthbuster/firefly/r041c02cat.png,1,test,4.648505972509875e-13
synthbuster/firefly/r06836fdat.png,1,test,0.0
synthbuster/firefly/r1683028at.png,1,test,0.0
synthbuster/firefly/r0b6e4254t.png,1,test,3.2942808904359187e-38
synthbuster/firefly/r11850456t.png,1,test,5.552144871611761e-29
synthbuster/firefly/r16da5576t.png,1,test,9.04733404215093e-35
synthbuster/firefly/r010cb248t.png,1,test,3.337335224105382e-24
synthbuster/firefly/r19c9183at.png,1,test,2.661188367396062e-27
synthbuster/firefly/r0a3c52a0t.png,1,test,3.377333469671527e-23
synthbuster/firefly/r173ee7e8t.png,1,test,7.17803576512534e-33
synthbuster/firefly/r050e1024t.png,1,test,1.1007116418248729e-26
synthbuster/firefly/r19183258t.png,1,test,4.0016030435253346e-24
synthbuster/firefly/r05ac4560t.png,1,test,1.5289750530061498e-32
synthbuster/firefly/r1df374c1t.png,1,test,3.6483368172540163e-34
synthbuster/firefly/r02f9f53et.png,1,test,7.584386407013176e-39
synthbuster/firefly/r17afaaa1t.png,1,test,5.61056735462164e-29
synthbuster/firefly/r04c566a0t.png,1,test,4.773589920529391e-38
synthbuster/firefly/r09f764ect.png,1,test,8.723399534744877e-28
synthbuster/firefly/r1f2c2acft.png,1,test,2.7849708739651034e-25
synthbuster/firefly/r108ba35et.png,1,test,1.267578162271766e-19
synthbuster/firefly/r102b4aa4t.png,1,test,9.041208987663107e-24
synthbuster/firefly/r1e52a39dt.png,1,test,0.0
synthbuster/firefly/r0ebdd2d2t.png,1,test,4.5974591689150975e-25
synthbuster/firefly/r00816405t.png,1,test,6.295561172753147e-28
synthbuster/firefly/r05a7750et.png,1,test,1.6395617231765629e-18
synthbuster/firefly/r0a0852c6t.png,1,test,3.893916137911016e-33
synthbuster/firefly/r09a60f63t.png,1,test,4.587155023265333e-34
synthbuster/firefly/r185929e9t.png,1,test,2.6047950133893923e-33
synthbuster/firefly/r1a9acd94t.png,1,test,8.071581063611655e-28
synthbuster/firefly/r1328ee94t.png,1,test,5.63476996734272e-26
synthbuster/firefly/r0428df0ct.png,1,test,3.916343118693387e-37
synthbuster/firefly/r085bdbe2t.png,1,test,6.298390675287435e-22
synthbuster/firefly/r162b2209t.png,1,test,5.728334663899205e-25
synthbuster/firefly/r096982ddt.png,1,test,8.98967999001325e-19
synthbuster/firefly/r12a97b08t.png,1,test,2.0624024507948033e-33
synthbuster/firefly/r1594b4b3t.png,1,test,0.0
synthbuster/firefly/r1aa53167t.png,1,test,7.260728445838172e-28
synthbuster/firefly/r1dea56e5t.png,1,test,0.0008386803674511611
synthbuster/firefly/r012b0f30t.png,1,test,8.183994795848588e-30
synthbuster/firefly/r1372056ct.png,1,test,3.444195443525395e-38
synthbuster/firefly/r186c09e4t.png,1,test,9.764026457899016e-24
synthbuster/firefly/r029afdb0t.png,1,test,9.709060081735128e-38
synthbuster/firefly/r042d7b17t.png,1,test,2.9811012576966424e-30
synthbuster/firefly/r0417f5e3t.png,1,test,1.9410262937245747e-35
synthbuster/firefly/r0ebb0bb4t.png,1,test,4.458271564721771e-25
synthbuster/firefly/r1824034et.png,1,test,2.9798966092119016e-37
synthbuster/firefly/r1dbef145t.png,1,test,9.801715711372014e-17
synthbuster/firefly/r0fa077bet.png,1,test,0.0
synthbuster/firefly/r175da907t.png,1,test,4.81230850198445e-18
synthbuster/firefly/r13a5bb6bt.png,1,test,2.618546240503914e-16
synthbuster/firefly/r0b59fc2bt.png,1,test,3.510747595414365e-11
synthbuster/firefly/r1934e29ft.png,1,test,2.2227086228765147e-27
synthbuster/firefly/r0ae68527t.png,1,test,5.169740247406454e-37
synthbuster/firefly/r1b177fe1t.png,1,test,0.0
synthbuster/firefly/r1a0f5585t.png,1,test,1.1908836547100399e-12
synthbuster/firefly/r12d4cabat.png,1,test,6.12298064635961e-39
synthbuster/firefly/r1f1178cet.png,1,test,2.2187837024952973e-37
synthbuster/firefly/r11b292cbt.png,1,test,6.174258310857895e-30
synthbuster/firefly/r0a42c0f6t.png,1,test,2.0329012527432087e-32
synthbuster/firefly/r116ce066t.png,1,test,1.4831649590875254e-34
synthbuster/firefly/r06b7849at.png,1,test,4.701270207206175e-22
synthbuster/firefly/r1419078bt.png,1,test,1.1408476986707841e-29
synthbuster/firefly/r0d203f37t.png,1,test,2.747394233087644e-33
synthbuster/firefly/r00b8d4a2t.png,1,test,4.609447401191464e-35
synthbuster/firefly/r1d79b6e7t.png,1,test,9.885490189920896e-32
synthbuster/firefly/r1d527f65t.png,1,test,1.658216437653677e-27
synthbuster/firefly/r1e3303ebt.png,1,test,4.8682420841270647e-23
synthbuster/firefly/r08276bf9t.png,1,test,1.258145005927815e-35
synthbuster/firefly/r006b0e4bt.png,1,test,2.254583084239015e-23
synthbuster/firefly/r05718fd6t.png,1,test,1.299539044827273e-28
synthbuster/firefly/r1e14f45ct.png,1,test,8.544415704841781e-32
synthbuster/firefly/r05243256t.png,1,test,0.0
synthbuster/firefly/r0773471dt.png,1,test,3.4681827226605893e-35
synthbuster/firefly/r1618da9dt.png,1,test,1.949531984744108e-26
synthbuster/firefly/r0b5a3035t.png,1,test,4.328569679727846e-29
synthbuster/firefly/r1218b33at.png,1,test,0.0
synthbuster/firefly/r0c2fb2a1t.png,1,test,3.0751896455522928e-24
synthbuster/firefly/r09a992e9t.png,1,test,1.3309063384234173e-26
synthbuster/firefly/r1ef16e0dt.png,1,test,3.92877852148776e-29
synthbuster/firefly/r1580c37ft.png,1,test,4.303150112800919e-29
synthbuster/firefly/r0676c50at.png,1,test,8.550347980783158e-25
synthbuster/firefly/r1ad2de34t.png,1,test,1.7149426638835682e-29
synthbuster/firefly/r1a485a99t.png,1,test,6.392975158937455e-34
synthbuster/firefly/r07c51648t.png,1,test,1.0602343814281501e-24
synthbuster/firefly/r057282fet.png,1,test,1.354765418421563e-35
synthbuster/firefly/r002fc3e2t.png,1,test,2.567663163188645e-24
synthbuster/firefly/r1aa4cc99t.png,1,test,1.1906172933413145e-13
synthbuster/firefly/r1ead3024t.png,1,test,4.566961735732068e-38
synthbuster/firefly/r13c7e92dt.png,1,test,1.9302037847074364e-33
synthbuster/firefly/r0ab7202ft.png,1,test,1.175992642877601e-31
synthbuster/firefly/r1dbe1b11t.png,1,test,7.164396198544217e-30
synthbuster/firefly/r0e661e0dt.png,1,test,2.2146175985871494e-27
synthbuster/firefly/r0f86049ct.png,1,test,1.3625948661950034e-23
synthbuster/firefly/r1bc92a89t.png,1,test,1.1736995160434013e-21
synthbuster/firefly/r17754c77t.png,1,test,1.5961057208001335e-24
synthbuster/firefly/r07d13149t.png,1,test,7.903026487725286e-37
synthbuster/firefly/r0b99ac3ct.png,1,test,9.11066109061967e-24
synthbuster/firefly/r0d0ff43at.png,1,test,3.7991316203003995e-33
synthbuster/firefly/r194c49f5t.png,1,test,0.0
synthbuster/firefly/r0bf1bbect.png,1,test,4.3675811963107324e-29
synthbuster/firefly/r0f91360ct.png,1,test,2.5062851085210676e-35
synthbuster/firefly/r1d53fccat.png,1,test,1.8057088457444582e-31
synthbuster/firefly/r18e0516bt.png,1,test,1.6919816565493994e-25
synthbuster/firefly/r0f98115dt.png,1,test,1.1530019717159135e-29
synthbuster/firefly/r0dd60980t.png,1,test,9.519902529985217e-28
synthbuster/firefly/r0bc1a779t.png,1,test,8.851833855464393e-25
synthbuster/firefly/r0fbd0c71t.png,1,test,7.735060660993773e-33
synthbuster/firefly/r170b020bt.png,1,test,1.447842638623907e-31
synthbuster/firefly/r02f5c155t.png,1,test,5.87098155592696e-33
synthbuster/firefly/r1c99500bt.png,1,test,0.0002520826237741858
synthbuster/firefly/r05db7e7ft.png,1,test,9.761883108952835e-28
synthbuster/firefly/r155fe1fat.png,1,test,1.444510417059064e-06
synthbuster/firefly/r13b45303t.png,1,test,5.888547617173461e-39
synthbuster/firefly/r06a52b7bt.png,1,test,2.427662831532892e-29
synthbuster/firefly/r125f6e84t.png,1,test,1.577273357654473e-27
synthbuster/firefly/r0fdfc4f0t.png,1,test,3.195273701026722e-26
synthbuster/firefly/r110f894ft.png,1,test,1.9007821358552057e-11
synthbuster/firefly/r0b591bc3t.png,1,test,2.9598313043973574e-38
