image,class,split,spai
synthbuster/glide/r1d1445b6t.png,1,test,1.966463258589804e-27
synthbuster/glide/r0200a7a6t.png,1,test,2.7911426871574337e-30
synthbuster/glide/r06743f8ft.png,1,test,1.138154717746546e-18
synthbuster/glide/r1f3e6681t.png,1,test,1.1570789816499283e-19
synthbuster/glide/r181dd93dt.png,1,test,1.7429820071100035e-26
synthbuster/glide/r0c764979t.png,1,test,2.5691334167871227e-31
synthbuster/glide/r1565a7e7t.png,1,test,8.135967054441605e-22
synthbuster/glide/r1a9de6e9t.png,1,test,7.767711385319567e-24
synthbuster/glide/r0207a52ct.png,1,test,2.792980376398191e-05
synthbuster/glide/r14289905t.png,1,test,1.8018535255012415e-26
synthbuster/glide/r031917act.png,1,test,1.0945716345290863e-14
synthbuster/glide/r18302db2t.png,1,test,2.924171019814228e-27
synthbuster/glide/r085a5f53t.png,1,test,6.184133702605906e-23
synthbuster/glide/r1b57dbb2t.png,1,test,1.6917850800109527e-36
synthbuster/glide/r09efa609t.png,1,test,2.9211917663536768e-21
synthbuster/glide/r07e242b7t.png,1,test,6.990613928465128e-38
synthbuster/glide/r0c3a8ea0t.png,1,test,4.248268763514505e-20
synthbuster/glide/r03cef811t.png,1,test,1.5867162042088658e-29
synthbuster/glide/r02897203t.png,1,test,4.765151516583697e-29
synthbuster/glide/r1a8d7a86t.png,1,test,2.541029633562816e-34
synthbuster/glide/r1b61c7b1t.png,1,test,1.6900224711874764e-23
synthbuster/glide/r047aa954t.png,1,test,3.321571811066803e-25
synthbuster/glide/r08d2b4dat.png,1,test,1.6796367945001237e-30
synthbuster/glide/r09488b39t.png,1,test,6.059847247038707e-24
synthbuster/glide/r08307e1at.png,1,test,9.583205205451221e-33
synthbuster/glide/r191488c6t.png,1,test,4.494114544634232e-24
synthbuster/glide/r01559391t.png,1,test,3.179916461117743e-33
synthbuster/glide/r09670876t.png,1,test,1.2394678685255361e-25
synthbuster/glide/r0c7fcc38t.png,1,test,5.364520565821259e-20
synthbuster/glide/r1bc3a653t.png,1,test,3.527892893371465e-29
synthbuster/glide/r02b3a1ddt.png,1,test,1.9568108980450908e-19
synthbuster/glide/r0f8a1531t.png,1,test,7.58821808964406e-21
synthbuster/glide/r16422663t.png,1,test,4.488130009275172e-19
synthbuster/glide/r1ca6cc12t.png,1,test,5.634968076181508e-17
synthbuster/glide/r0287344at.png,1,test,1.2827793324989376e-34
synthbuster/glide/r0c0d0adct.png,1,test,4.95708135059468e-33
synthbuster/glide/r1d1cf607t.png,1,test,8.053097432452885e-28
synthbuster/glide/r06c4bcb9t.png,1,test,7.580659211828457e-23
synthbuster/glide/r0e965ba7t.png,1,test,6.230315972696308e-20
synthbuster/glide/r0f24ca4dt.png,1,test,7.775853962649741e-19
synthbuster/glide/r177dd68et.png,1,test,2.2318214831784644e-08
synthbuster/glide/r1ceba29dt.png,1,test,1.3811673340309838e-23
synthbuster/glide/r12f02af5t.png,1,test,9.236925693792802e-23
synthbuster/glide/r1af60295t.png,1,test,2.1050793976827803e-32
synthbuster/glide/r075baf3ct.png,1,test,3.8936233222682263e-31
synthbuster/glide/r07f99a1at.png,1,test,1.5554906496902894e-31
synthbuster/glide/r16654024t.png,1,test,5.200034947479729e-32
synthbuster/glide/r179ed8d7t.png,1,test,1.7102531082379245e-20
synthbuster/glide/r0341853dt.png,1,test,1.0793027817173529e-18
synthbuster/glide/r1655a008t.png,1,test,1.9534655506879823e-38
synthbuster/glide/r0fbe1b0ft.png,1,test,5.51691661329303e-26
synthbuster/glide/r1aa63558t.png,1,test,1.8459412272336255e-34
synthbuster/glide/r182ed662t.png,1,test,6.761516480619097e-30
synthbuster/glide/r0b50b69ct.png,1,test,5.52376432845466e-32
synthbuster/glide/r0f1a3f00t.png,1,test,2.597901661078441e-23
