image,class,split,spai
synthbuster/midjourney-v5/r1d1445b6t.png,1,test,7.584429121241056e-28
synthbuster/midjourney-v5/r0200a7a6t.png,1,test,0.0
synthbuster/midjourney-v5/r06743f8ft.png,1,test,8.373040107809696e-19
synthbuster/midjourney-v5/r1f3e6681t.png,1,test,2.01056313023401e-28
synthbuster/midjourney-v5/r181dd93dt.png,1,test,1.1514713307289814e-38
synthbuster/midjourney-v5/r0c764979t.png,1,test,1.484952021970044e-29
synthbuster/midjourney-v5/r1565a7e7t.png,1,test,0.0
synthbuster/midjourney-v5/r1a9de6e9t.png,1,test,3.3089982304655077e-34
synthbuster/midjourney-v5/r0207a52ct.png,1,test,2.500830510528171e-36
synthbuster/midjourney-v5/r14289905t.png,1,test,2.5863572534969157e-19
synthbuster/midjourney-v5/r031917act.png,1,test,1.0243797593591267e-35
synthbuster/midjourney-v5/r18302db2t.png,1,test,4.984924786608688e-38
synthbuster/midjourney-v5/r085a5f53t.png,1,test,2.6148387401799552e-34
synthbuster/midjourney-v5/r1b57dbb2t.png,1,test,9.695352590877356e-26
synthbuster/midjourney-v5/r09efa609t.png,1,test,1.0563935846212099e-34
synthbuster/midjourney-v5/r07e242b7t.png,1,test,1.6879252143553458e-05
synthbuster/midjourney-v5/r0c3a8ea0t.png,1,test,2.7613897790311295e-33
synthbuster/midjourney-v5/r03cef811t.png,1,test,1.665997040554606e-26
synthbuster/midjourney-v5/r02897203t.png,1,test,0.0
synthbuster/midjourney-v5/r1a8d7a86t.png,1,test,3.593317814567019e-37
synthbuster/midjourney-v5/r1b61c7b1t.png,1,test,4.839174333069667e-30
synthbuster/midjourney-v5/r047aa954t.png,1,test,4.158780099698485e-20
synthbuster/midjourney-v5/r08d2b4dat.png,1,test,1.0896207416064762e-32
synthbuster/midjourney-v5/r09488b39t.png,1,test,2.0201217557056488e-33
synthbuster/midjourney-v5/r08307e1at.png,1,test,7.683093984289339e-34
synthbuster/midjourney-v5/r191488c6t.png,1,test,3.0309446126049633e-17
synthbuster/midjourney-v5/r01559391t.png,1,test,3.876331451277951e-37
synthbuster/midjourney-v5/r09670876t.png,1,test,4.108726582135366e-29
synthbuster/midjourney-v5/r0c7fcc38t.png,1,test,0.0
synthbuster/midjourney-v5/r1bc3a653t.png,1,test,0.0
synthbuster/midjourney-v5/r02b3a1ddt.png,1,test,0.0
synthbuster/midjourney-v5/r0f8a1531t.png,1,test,7.2996043047306e-29
synthbuster/midjourney-v5/r16422663t.png,1,test,3.393099801495455e-24
synthbuster/midjourney-v5/r1ca6cc12t.png,1,test,1.772194825893263e-32
synthbuster/midjourney-v5/r0287344at.png,1,test,2.0506037935904092e-33
synthbuster/midjourney-v5/r0c0d0adct.png,1,test,1.3177245754969764e-36
synthbuster/midjourney-v5/r1d1cf607t.png,1,test,3.395675510475297e-32
synthbuster/midjourney-v5/r06c4bcb9t.png,1,test,1.5545842612597659e-37
synthbuster/midjourney-v5/r0e965ba7t.png,1,test,1.223306158248342e-15
synthbuster/midjourney-v5/r0f24ca4dt.png,1,test,1.3021993543925797e-35
synthbuster/midjourney-v5/r177dd68et.png,1,test,1.1240985889714845e-15
synthbuster/midjourney-v5/r1ceba29dt.png,1,test,6.0059693291110825e-25
synthbuster/midjourney-v5/r12f02af5t.png,1,test,3.703972917256708e-38
synthbuster/midjourney-v5/r1af60295t.png,1,test,1.3236535253514733e-37
synthbuster/midjourney-v5/r075baf3ct.png,1,test,0.0
synthbuster/midjourney-v5/r07f99a1at.png,1,test,2.405242467912427e-31
synthbuster/midjourney-v5/r16654024t.png,1,test,1.4821867488854748e-26
synthbuster/midjourney-v5/r179ed8d7t.png,1,test,8.139162757861899e-30
synthbuster/midjourney-v5/r0341853dt.png,1,test,0.0
synthbuster/midjourney-v5/r1655a008t.png,1,test,2.278998397028845e-34
synthbuster/midjourney-v5/r0fbe1b0ft.png,1,test,0.0
synthbuster/midjourney-v5/r1aa63558t.png,1,test,9.017385157406432e-29
synthbuster/midjourney-v5/r182ed662t.png,1,test,2.7207216377683094e-36
synthbuster/midjourney-v5/r0b50b69ct.png,1,test,3.3965316775598506e-39
synthbuster/midjourney-v5/r0f1a3f00t.png,1,test,0.0
synthbuster/midjourney-v5/r17fe8532t.png,1,test,4.5446645936686134e-23
synthbuster/midjourney-v5/r1234de87t.png,1,test,1.1695159182093726e-29
synthbuster/midjourney-v5/r13a16a0at.png,1,test,2.8957249729058705e-24
synthbuster/midjourney-v5/r1bf00696t.png,1,test,5.081060556104914e-35
synthbuster/midjourney-v5/r041c02cat.png,1,test,4.761589162592015e-22
synthbuster/midjourney-v5/r06836fdat.png,1,test,0.0
synthbuster/midjourney-v5/r1683028at.png,1,test,0.0
synthbuster/midjourney-v5/r0b6e4254t.png,1,test,4.866343394535811e-25
synthbuster/midjourney-v5/r11850456t.png,1,test,1.1156716685945902e-27
synthbuster/midjourney-v5/r16da5576t.png,1,test,1.3352335868113484e-34
synthbuster/midjourney-v5/r010cb248t.png,1,test,3.3689820908832367e-31
