image,class,split,spai
synthbuster/stable-diffusion-xl/r1d1445b6t.png,1,test,2.5640396620762935e-18
synthbuster/stable-diffusion-xl/r0200a7a6t.png,1,test,3.164709901792257e-30
synthbuster/stable-diffusion-xl/r06743f8ft.png,1,test,2.5355271089203622e-36
synthbuster/stable-diffusion-xl/r1f3e6681t.png,1,test,3.609470189601721e-39
synthbuster/stable-diffusion-xl/r181dd93dt.png,1,test,1.7884529357630742e-25
synthbuster/stable-diffusion-xl/r0c764979t.png,1,test,1.4625799192349976e-25
synthbuster/stable-diffusion-xl/r1565a7e7t.png,1,test,7.64399657869872e-37
synthbuster/stable-diffusion-xl/r1a9de6e9t.png,1,test,1.6008789404199952e-33
synthbuster/stable-diffusion-xl/r0207a52ct.png,1,test,4.612837511335706e-22
synthbuster/stable-diffusion-xl/r14289905t.png,1,test,9.645867255774135e-29
synthbuster/stable-diffusion-xl/r031917act.png,1,test,1.214768548780519e-22
synthbuster/stable-diffusion-xl/r18302db2t.png,1,test,1.704164038540921e-35
synthbuster/stable-diffusion-xl/r085a5f53t.png,1,test,1.8903957049115554e-25
synthbuster/stable-diffusion-xl/r1b57dbb2t.png,1,test,1.3819505693718744e-26
synthbuster/stable-diffusion-xl/r09efa609t.png,1,test,1.089678935321218e-17
synthbuster/stable-diffusion-xl/r07e242b7t.png,1,test,1.9372092092354715e-13
synthbuster/stable-diffusion-xl/r0c3a8ea0t.png,1,test,0.0
synthbuster/stable-diffusion-xl/r03cef811t.png,1,test,8.486402324160264e-24
synthbuster/stable-diffusion-xl/r02897203t.png,1,test,8.7049362763138e-31
synthbuster/stable-diffusion-xl/r1a8d7a86t.png,1,test,4.689375989841253e-15
synthbuster/stable-diffusion-xl/r1b61c7b1t.png,1,test,1.7150812701326277e-35
synthbuster/stable-diffusion-xl/r047aa954t.png,1,test,2.1723009675789218e-12
synthbuster/stable-diffusion-xl/r08d2b4dat.png,1,test,0.0
synthbuster/stable-diffusion-xl/r09488b39t.png,1,test,1.9707142128549015e-34
synthbuster/stable-diffusion-xl/r08307e1at.png,1,test,1.3102575960804663e-26
synthbuster/stable-diffusion-xl/r191488c6t.png,1,test,1.221882296641612e-32
synthbuster/stable-diffusion-xl/r01559391t.png,1,test,2.368525497494436e-28
synthbuster/stable-diffusion-xl/r09670876t.png,1,test,1.1338526985432781e-31
synthbuster/stable-diffusion-xl/r0c7fcc38t.png,1,test,1.3173897432779844e-33
synthbuster/stable-diffusion-xl/r1bc3a653t.png,1,test,1.2291201532342419e-23
synthbuster/stable-diffusion-xl/r02b3a1ddt.png,1,test,5.174086463587933e-20
synthbuster/stable-diffusion-xl/r0f8a1531t.png,1,test,2.1479494227429662e-25
synthbuster/stable-diffusion-xl/r16422663t.png,1,test,3.451003099040366e-18
synthbuster/stable-diffusion-xl/r1ca6cc12t.png,1,test,5.573287336074727e-34
synthbuster/stable-diffusion-xl/r0287344at.png,1,test,1.3689773355439057e-30
synthbuster/stable-diffusion-xl/r0c0d0adct.png,1,test,5.920241625320174e-38
synthbuster/stable-diffusion-xl/r1d1cf607t.png,1,test,3.159575564526095e-35
synthbuster/stable-diffusion-xl/r06c4bcb9t.png,1,test,1.4782458596124447e-33
synthbuster/stable-diffusion-xl/r0e965ba7t.png,1,test,3.6381568568053576e-15
synthbuster/stable-diffusion-xl/r0f24ca4dt.png,1,test,3.076019502572682e-26
synthbuster/stable-diffusion-xl/r177dd68et.png,1,test,5.369439459957291e-18
synthbuster/stable-diffusion-xl/r1ceba29dt.png,1,test,3.439591793523376e-20
synthbuster/stable-diffusion-xl/r12f02af5t.png,1,test,7.628238971909762e-29
synthbuster/stable-diffusion-xl/r1af60295t.png,1,test,0.16529783606529236
synthbuster/stable-diffusion-xl/r075baf3ct.png,1,test,3.968485143080833e-36
synthbuster/stable-diffusion-xl/r07f99a1at.png,1,test,5.993897950738913e-28
synthbuster/stable-diffusion-xl/r16654024t.png,1,test,4.158314463378476e-30
synthbuster/stable-diffusion-xl/r179ed8d7t.png,1,test,1.1677569609744858e-26
synthbuster/stable-diffusion-xl/r0341853dt.png,1,test,2.6873386873217828e-24
synthbuster/stable-diffusion-xl/r1655a008t.png,1,test,3.275469054132457e-25
synthbuster/stable-diffusion-xl/r0fbe1b0ft.png,1,test,7.2259556366327e-24
synthbuster/stable-diffusion-xl/r1aa63558t.png,1,test,8.054311651934507e-24
synthbuster/stable-diffusion-xl/r182ed662t.png,1,test,1.297297412594542e-25
synthbuster/stable-diffusion-xl/r0b50b69ct.png,1,test,5.558379066543584e-20
synthbuster/stable-diffusion-xl/r0f1a3f00t.png,1,test,0.0
synthbuster/stable-diffusion-xl/r17fe8532t.png,1,test,4.3354843171182304e-26
synthbuster/stable-diffusion-xl/r1234de87t.png,1,test,8.804449939116162e-25
synthbuster/stable-diffusion-xl/r13a16a0at.png,1,test,3.91002570024186e-31
